Taxon,Replicate,r,K,se_r,se_K,rho_rK
Pseudomonas,R5,0.02272200698265882,0.00175463182406578,6.978012232284525e-5,7.929153109756952e-6,-0.9840451675598871
Serratia,R1,0.02082821024253651,0.00170691110656803,5.067031929612232e-5,6.3763279362396095e-6,-0.9845204292013952
Serratia,R2,0.02748035206803947,7.793635592569263e-4,7.016350082320624e-5,4.07574954458491e-6,-0.9876655788879765
Serratia,R3,0.025557680048971736,0.0013770802659286295,4.480988783665708e-5,4.683486980450139e-6,-0.9870712194332137
Serratia,R4,0.02752262081406668,0.0011740583615552501,8.260752900616291e-5,6.2032405598129446e-6,-0.9859890190036287
Serratia,R5,0.028455162811649948,7.613613799133667e-4,8.437791771739911e-5,4.608977307062179e-6,-0.9876264963486504
Yersinia,R1,0.04615722602419903,3.938695026567253e-4,7.196001176405739e-5,2.120181313946204e-6,-0.9930219541467158
Yersinia,R2,0.0381862786006876,3.4727316928298985e-4,5.140027301711146e-5,1.585494955789028e-6,-0.992862215402962
Yersinia,R3,0.03873777039055091,4.6681106987881e-4,5.5929676524676096e-5,2.1373981373536896e-6,-0.9922292281358197
Yersinia,R4,0.036733334945724186,5.230006158582802e-4,5.204199930259703e-5,2.2276287172334867e-6,-0.9917108628585419
Yersinia,R5,0.03601391928722333,6.020573165550171e-4,5.7086017958661436e-5,2.77078755680252e-6,-0.9913639253370982
