noise_sd,dt,duration,n_fits,r_bias,r_rmse,K_bias,K_rmse,R_bias,R_rmse,r_rel_bias,K_rel_bias,R_rel_bias,mean_R2
0.005,3,120,450,-3.580808715605111e-5,8.052855687619043e-4,1.2109862393667627e-5,1.530447471036228e-4,1.2109862393667893e-14,1.5304474710362286e-13,-0.002811650801019643,0.0013194590155683153,0.0013194590155683722,0.9993225509796981
0.005,3,180,450,-1.8985119064625162e-5,8.214175180184822e-4,3.2594978363813356e-6,1.565420990262181e-4,3.2594978363816037e-15,1.5654209902621817e-13,-0.001248306727751814,0.001396955377853415,0.0013969553778534704,0.9993789573992748
0.005,5,60,450,8.141695269489581e-5,0.0017186249242678844,-1.001999997858289e-5,2.1299630450280038e-4,-1.0019999978582648e-14,2.1299630450280036e-13,0.007162330282550941,-0.0019108985983636068,-0.001910898598363554,0.9982541237748973
0.005,5,120,450,4.0471633885796764e-5,9.168171701529384e-4,-4.208880560110456e-6,1.8290370401193018e-4,-4.208880560110165e-15,1.8290370401193015e-13,0.0016231586948444977,-5.525200700719482e-4,-5.525200700718909e-4,0.9994647987875509
0.005,5,180,450,2.5126183808854652e-5,8.953689715243256e-4,-4.047460554640375e-6,1.825554455330541e-4,-4.0474605546402214e-15,1.825554455330541e-13,5.283603605574547e-4,6.867879918379278e-4,6.867879918379853e-4,0.9994977378501309
0.01,1,60,450,-3.509265284637805e-5,0.001960729968243961,5.148579446386794e-6,2.4095179593777152e-4,5.148579446387042e-15,2.409517959377715e-13,-0.0027312059778362516,0.003981742678939042,0.003981742678939099,0.9901633595166507
0.01,1,120,450,-5.709567628085533e-5,0.001074127126937436,1.256574266850493e-5,2.0201443091357284e-4,1.2565742668505176e-14,2.020144309135729e-13,-0.003739546978479474,0.0030265045881878306,0.003026504588187885,0.9966668776184923
0.01,1,180,450,-4.059703538659522e-5,0.001105105324602062,9.350301105509836e-6,2.02191223663919e-4,9.350301105510124e-15,2.0219122366391903e-13,-0.0024238439354783443,0.002131691917592302,0.0021316919175923587,0.9969265800197165
0.01,3,60,450,-3.168406918877561e-4,0.002814753175538322,6.704162699673655e-5,3.621132463665102e-4,6.704162699673694e-14,3.621132463665102e-13,-0.018624212883834663,0.015215569381725245,0.015215569381725295,0.992036953297147
0.01,3,120,450,-8.977483621803032e-5,0.0015874645549939076,1.526064862462205e-5,3.02654884075613e-4,1.5260648624622368e-14,3.02654884075613e-13,-0.0024960547939469183,0.0025460877524916235,0.0025460877524916764,0.9973553493730275
0.01,3,180,450,-1.3650410848502068e-5,0.0015301836890914218,1.4783764580175055e-5,2.9337904477623033e-4,1.4783764580175432e-14,2.933790447762303e-13,-0.0040384635001175,0.001592675912786066,0.0015926759127861219,0.9975648094895999
0.01,5,60,450,9.726561448995334e-5,0.0034602178878782187,4.6912366200901806e-6,4.184704754877002e-4,4.691236620090396e-15,4.184704754877003e-13,0.005992157158727153,0.003440108200746073,0.0034401082007461292,0.9929467616863973
0.01,5,120,450,4.101577990180345e-5,0.0018712317614492744,-1.4574866481009143e-6,3.6887778198051136e-4,-1.457486648100661e-15,3.6887778198051137e-13,0.001909513356402297,8.690206117913397e-4,8.690206117913906e-4,0.9978126439087648
0.01,5,180,450,-2.3479169998235097e-5,0.0018024801924104385,1.3428704147992973e-6,3.6012602317544426e-4,1.34287041479958e-15,3.601260231754442e-13,-0.0012091875554307756,0.0023208118557262107,0.0023208118557262623,0.9979256479298495
